"Name","Created","Runtime","End Time","ID","Notes","State","Updated","Tags","batch_size","dropout","embedding_dim","hidden_dim","lang","n_layers","train_accuracy","train_loss","val_accuracy","val_loss"
"zesty-sweep-835","2022-01-26T18:06:05.000Z","51","2022-01-26T18:06:56.000Z","4jljv9a0","-","finished","2022-01-26T18:06:56.000Z","","256","0.4","250","512","af","4","0.21404968430990737","2.404063065846761","0.23039307880383675","2.3914883136749268"
"zesty-sweep-730","2022-01-26T15:09:00.000Z","91","2022-01-26T15:10:31.000Z","40nxpgza","-","finished","2022-01-26T15:10:31.000Z","","256","0.2","150","256","en","4","0.959596453325252","0.1261940498133095","0.9118021313822172","0.29979475028812885"
"zesty-sweep-701","2022-01-26T14:28:55.000Z","16","2022-01-26T14:29:11.000Z","c6bjedi7","-","finished","2022-01-26T14:29:11.000Z","","64","0.1","200","256","ta","4","0.540527729499131","1.3914256266185216","0.5352335708630246","1.5464267134666445"
"zesty-sweep-309","2022-01-26T03:00:58.000Z","420","2022-01-26T03:07:58.000Z","qu4q0gt0","-","finished","2022-01-26T03:07:58.000Z","","64","0.2","50","512","cs","3","0.9825501135104552","0.05085351776331663","0.9445093164582392","0.1712995823858113"
"zesty-sweep-25","2022-01-25T19:06:44.000Z","17","2022-01-25T19:07:01.000Z","j0cctn4r","-","failed","2022-01-25T19:07:01.000Z","","256","0.4","250","512","ar","4","","","",""
"zesty-sweep-187","2022-01-25T23:04:45.000Z","157","2022-01-25T23:07:22.000Z","rz0bgg6g","-","finished","2022-01-25T23:07:22.000Z","","64","0.4","250","512","en","3","0.9720557613912976","0.08517744306626977","0.916454588834102","0.32169519690796733"
"youthful-sweep-83","2022-01-25T20:26:50.000Z","27","2022-01-25T20:27:17.000Z","nxnj890r","-","finished","2022-01-25T20:27:17.000Z","","128","0.2","150","64","lt","3","0.8237370024157127","0.5712552886260184","0.7718660783804827","0.719147002696991"
"youthful-sweep-828","2022-01-26T17:58:18.000Z","135","2022-01-26T18:00:33.000Z","ritjydn4","-","finished","2022-01-26T18:00:33.000Z","","256","0.2","50","64","cs","4","0.9637253116498012","0.11642447086565334","0.9411631761337954","0.179053363365096"
"youthful-sweep-763","2022-01-26T16:03:30.000Z","130","2022-01-26T16:05:40.000Z","wq06bzrg","-","finished","2022-01-26T16:05:40.000Z","","64","0.2","250","256","es","3","0.987307680239308","0.036873273610196135","0.9392446235254138","0.25984601497650145"
"youthful-sweep-463","2022-01-26T07:38:23.000Z","161","2022-01-26T07:41:04.000Z","tfthgue0","-","finished","2022-01-26T07:41:04.000Z","","128","0.2","250","512","ar","3","0.982630294926346","0.05166106769929127","0.9422920425998657","0.1895397390638079"
